"","variable","relative_importance","scaled_importance","percentage"
"1","rhi:al.l:ss_area",0.187175661325455,1,0.0313888024112854
"2","or.l:zy.l:ms.l_area",0.145773336291313,0.77880497527853,0.0244457554859438
"3","g:n:ms.r_angle",0.14148274064064,0.75588214642199,0.0237262353402582
"4","ms.r:ms.l:po.r_area",0.116406656801701,0.621911288985894,0.019521050567326
"5","g:mo.r:ms.r_angle",0.11201836168766,0.59846649342345,0.0187851465118435
"6","rhi:al.l:pr_area",0.11182314902544,0.597423555143774,0.0187524099282556
"7","mio.l:zy.l:ms.l_area",0.108822584152222,0.581392812407403,0.0182492241119975
"8","g:mio.l:au.r_angle",0.106649063527584,0.569780615558485,0.0178847311595458
"9","g:n:au.r_angle",0.101927079260349,0.544553060684113,0.0170928684242743
"10","rhi:fmo.l:zy.l_angle",0.0973097905516624,0.519884849678525,0.01631856282318
"11","g:n:fmo.l_angle",0.0963544771075249,0.514781015999655,0.0161583595962939
"12","mso.l:zy.l:zm.l_area",0.095018558204174,0.507643769127435,0.0159343299644612
"13","rhi:mo.l:a_area",0.0909248664975166,0.485772914350331,0.0152478300252968
"14","fmo.r:mso.l:ju.r_angle",0.0824232622981071,0.440352456694636,0.013822136254512
"15","g:mo.l:ms.l_angle",0.0812102928757668,0.433872076640141,0.0136187248854315
"16","g:n:ms.l_angle",0.079189270734787,0.423074614370377,0.0132798054757025
"17","fmo.l:ju.r:ju.l_angle",0.0767005980014801,0.409778693759311,0.0128624624507657
"18","g:n:mp_angle",0.0761401876807213,0.406784659616248,0.0127684833046364
"19","n:mio.l:cr.r_angle",0.0702543407678604,0.375339081322676,0.0117814442608708
"20","or.r:au.r:ju.r_angle",0.0701407864689827,0.374732408969691,0.0117624015422546
"21","zy.r:ms.l_distance",0.0685553252696991,0.366261963677518,0.011496524408643
"22","g:mio.l:ms.r_angle",0.0680551379919052,0.36358967565539,0.0114126444879304
"23","fmo.r:po.l:ju.r_angle",0.0678091272711754,0.362275344940661,0.0113713892208227
"24","ms.r:ms.l:ju.r_area",0.0667539089918137,0.356637762191443,0.0111944322498302
"25","g:n:ss_angle",0.0652120262384415,0.348400138012885,0.010935863092151
"26","fmo.l:ms.l:ju.r_angle",0.0627157986164093,0.335063854842544,0.0105172531348162
"27","fmo.r:ns:fmt.r_angle",0.0618692226707935,0.330540959399724,0.0103752848634346
"28","g:mio.l:cr.r_angle",0.0611538924276829,0.32671925395979,0.0102553261065064
"29","g:mo.l:au.r_angle",0.0607384331524372,0.32449963164189,0.0101856548201422
"30","g:n:fmt.l_angle",0.0600340068340302,0.320736181236967,0.0100675246189974
"31","n:fmo.r:mio.l_angle",0.0587185062468052,0.313708020749062,0.00984691907812773
"32","ale:pr:mp_angle",0.0584087334573269,0.312053036402889,0.00979497110149192
"33","fmo.r:ss:fmt.r_area",0.0553372241556644,0.295643267740061,0.00927988811531953
"34","ms.r:po.r:ju.r_area",0.0537491030991077,0.287158611961042,0.00901356493154414
"35","fmo.l:ft.r:ju.l_angle",0.0534967370331287,0.285810327337967,0.00897124389191626
"36","n:ms.r:ms.l_area",0.0532254762947559,0.284361096511417,0.00892575427185333
"37","ale:rhi:mo.l_area",0.0530640408396721,0.283498615492567,0.00889868202556917
"38","g:ms.r:ms.l_area",0.0526356436312199,0.281209871296775,0.00882684108623747
"39","ec.r:mso.l:ecm.l_angle",0.0523416474461555,0.279639174642186,0.00877753879929852
"40","fmo.l:zy.r:ju.l_angle",0.0500246435403824,0.267260407609306,0.00838898412680809
"41","g:fmo.l:cr.r_angle",0.0491956435143948,0.262831412834466,0.00824996328494003
"42","fmo.r:ns:fmt.r_area",0.0489920973777771,0.261743952343202,0.00821582920244966
"43","mso.l:ms.r:ms.l_area",0.0483794026076794,0.258470584610672,0.0081130821094738
"44","g:al.r:ecm.r_angle",0.0482293255627155,0.257668786749234,0.00808791463482736
"45","mio.l:cr.l:cdl.l_angle",0.0476906485855579,0.254790864623339,0.00799758010586256
"46","fmo.r:mio.r:fmt.r_area",0.0471124425530434,0.25170175555638,0.00790061667173287
"47","ec.r:cr.r:ju.r_angle",0.0436370484530926,0.233134202086338,0.00731780340460075
"48","zy.r:ms.r:po.r_area",0.0431767553091049,0.230675051464253,0.00724061361162454
"49","g:n:pr_angle",0.0417770519852638,0.223197031544733,0.00700588752194307
"50","al.l:ecm.l:a_area",0.0416575782001019,0.222558733892592,0.00698585212306043
"51","n:mio.l:au.r_angle",0.0412236526608467,0.220240454175121,0.00691308409907462
"52","ft.r:fmt.r:ju.r_angle",0.0402515605092049,0.215046978993796,0.00675006713278009
"53","fmo.r:mp:fmt.r_area",0.0399127341806889,0.213236773937665,0.00669324696394929
"54","ms.l:ju.r_distance",0.0392357744276524,0.209620065716934,0.0065797228242295
"55","n:mo.l:cr.r_angle",0.0390951260924339,0.208868641444021,0.0065561365162
"56","g:n:po.r_angle",0.0384214706718922,0.205269586867313,0.00644316650322427
"57","fmo.r:cr.r:ju.r_angle",0.0373316742479801,0.199447267789101,0.00626041088010283
"58","n:ecm.r:ms.l_area",0.036723792552948,0.196199614270863,0.00615847092551855
"59","n:zm.l:cr.r_angle",0.0362045839428902,0.19342570335541,0.00607140118388688
"60","zy.l:ms.r:po.r_area",0.0355581529438496,0.189972097291123,0.00596299662552854
"61","ale:fmo.r:fmt.r_angle",0.0350837372243404,0.187437495750786,0.00588343851858756
"62","g:n:ale_angle",0.033149491995573,0.177103645638702,0.00555907133927153
"63","ms.r:ms.l:po.l_area",0.0331205874681473,0.17694922103445,0.00555422413588122
"64","g:zy.r:cdl.r_area",0.0326878912746906,0.17463750918905,0.00548166226953413
"65","zy.l:ms.r_distance",0.0321505516767502,0.171766732111863,0.00539155201509146
"66","zy.r:zy.l:ms.r_area",0.032012365758419,0.171028463485736,0.00536837864705951
"67","fmo.r:al.r:fmt.r_area",0.0317482016980648,0.169617147193417,0.00532407911882008
"68","rhi:mso.l:a_area",0.0317360907793045,0.169552443702191,0.00532204815371866
"69","fmo.r:ss:fmt.r_angle",0.0314653478562832,0.168105979342968,0.00527664536975203
"70","g:n:cdl.l_angle",0.0302718225866556,0.161729481131737,0.00507649472732382
"71","n:zy.r:cdl.r_area",0.0302534885704517,0.16163153027598,0.00507342016726642
"72","or.r:zy.r:po.r_area",0.0299277082085609,0.159891024274378,0.00501878776828647
"73","zy.r:ms.r:ms.l_area",0.0283250566571951,0.151328738237737,0.00475002786369346
"74","g:ale:mo.l_area",0.0279730055481195,0.14944787880023,0.00469098993844616
"75","or.r:au.r:ju.r_area",0.0274886507540941,0.146860177009327,0.00460976507823216
"76","zy.r:ms.r:po.l_area",0.026853634044528,0.143467552642092,0.0045032746623133
