"","Average","Median","Minimum","Maximum","Std. Deviation","Variance","Lower Quartile (25%)","Upper Quartile (75%)","Interquartile Range"
"rhi:al.l:ss_area","0.8085077","0.7954729","0.5731467","1.496309","0.105611","0.01115368","0.7410678","0.8523699","0.1113021"
"g:n:ms.r_angle","0.7663182","0.7688016","0.5359787","1.004039","0.08987389","0.008077315","0.7078545","0.8168984","0.1090438"
"or.l:zy.l:ms.l_area","3.064361","3.047203","2.53709","3.747238","0.2547625","0.06490391","2.879695","3.240322","0.360627"
"mio.l:zy.l:ms.l_area","3.563387","3.546003","2.986432","4.410439","0.2768872","0.0766665","3.371136","3.761904","0.3907677"
"rhi:fmo.l:zy.l_angle","0.4104697","0.4068198","0.3308941","0.5548122","0.03696163","0.001366162","0.3878967","0.4343117","0.04641498"
"g:mo.r:ms.r_angle","0.4772508","0.4794889","0.3206654","0.746301","0.07346219","0.005396693","0.4260904","0.5200658","0.09397546"
"ms.r:ms.l:po.r_area","4.721813","4.735355","3.552922","7.318787","0.4771844","0.2277049","4.414745","4.995472","0.5807269"
"g:ms.r:ms.l_area","18.16378","18.16485","14.71781","20.23879","0.8358395","0.6986277","17.73251","18.66583","0.9333186"
"mso.l:zy.l:zm.l_area","3.480303","3.508963","2.069598","4.224423","0.291572","0.08501426","3.30893","3.676094","0.3671642"
"g:n:au.r_angle","1.018618","1.019699","0.7954469","1.252618","0.08732738","0.007626072","0.9618081","1.068877","0.1070693"
"g:n:fmo.l_angle","1.135589","1.134709","0.9406987","1.373314","0.06396696","0.004091772","1.097679","1.175741","0.07806283"
"rhi:al.l:pr_area","1.102796","1.090194","0.3961375","1.547045","0.1329947","0.01768758","1.035071","1.167336","0.1322656"
"n:ms.r:ms.l_area","17.15619","17.173","13.70188","19.28218","0.8037725","0.6460502","16.7426","17.64994","0.9073476"
"g:n:mp_angle","0.3225307","0.3133747","0.08449802","0.6713204","0.1181447","0.01395816","0.2390398","0.4008054","0.1617655"
"g:mio.l:au.r_angle","1.412129","1.409966","1.261782","1.582632","0.05647191","0.003189077","1.372628","1.449131","0.07650255"
"or.r:au.r:ju.r_angle","0.400409","0.4011546","0.2929955","0.5516954","0.05083108","0.002583798","0.363042","0.4389852","0.07594317"
"fmo.l:ju.r:ju.l_angle","1.606079","1.60427","1.452848","1.753717","0.06084173","0.003701716","1.565609","1.64265","0.07704077"
"rhi:mo.l:a_area","1.061371","1.057354","0.2271311","1.552007","0.1634522","0.02671661","0.9748509","1.15266","0.1778088"
"fmo.r:ns:fmt.r_angle","2.799809","2.822938","2.283875","3.139612","0.1648682","0.02718152","2.694532","2.9113","0.2167682"
"g:n:ms.l_angle","0.736962","0.7436974","0.4853396","1.073968","0.1005169","0.01010365","0.6902674","0.796487","0.1062195"
"n:mio.l:cr.r_angle","1.488868","1.492089","0.9790257","1.716389","0.08449435","0.007139294","1.438187","1.537055","0.09886813"
"g:mo.l:ms.l_angle","0.4694153","0.469207","0.2398472","0.7532519","0.0752763","0.005666521","0.4194929","0.5193459","0.099853"
"g:n:ss_angle","0.3101692","0.3038831","0.0704749","0.6605103","0.1175185","0.0138106","0.2264045","0.3860913","0.1596868"
"fmo.r:po.l:ju.r_angle","1.325344","1.317437","1.193127","1.519966","0.05985672","0.003582827","1.287161","1.360332","0.07317081"
"fmo.r:ss:fmt.r_area","0.1771168","0.1602878","0.0004591893","0.6944925","0.1116033","0.0124553","0.1090853","0.2169434","0.1078581"
