"","h2o.coef(glm_model)"
"Intercept",-28.8643988835041
"g:n_distance",0
"g:ale_distance",0
"n:ale_distance",0
"g:rhi_distance",0
"n:rhi_distance",0
"ale:rhi_distance",0
"g:fmo-r_distance",0
"n:fmo-r_distance",0
"ale:fmo-r_distance",0
"rhi:fmo-r_distance",0
"g:fmo-l_distance",0
"n:fmo-l_distance",0
"ale:fmo-l_distance",0
"rhi:fmo-l_distance",0
"fmo-r:fmo-l_distance",0
"g:ec-l_distance",0
"n:ec-l_distance",0
"ale:ec-l_distance",0
"rhi:ec-l_distance",0
"fmo-r:ec-l_distance",0
"fmo-l:ec-l_distance",0
"g:ec-r_distance",0
"n:ec-r_distance",0
"ale:ec-r_distance",0
"rhi:ec-r_distance",0
"fmo-r:ec-r_distance",0
"fmo-l:ec-r_distance",0
"ec-l:ec-r_distance",0
"g:mso-r_distance",0
"n:mso-r_distance",0
"ale:mso-r_distance",0
"rhi:mso-r_distance",0
"fmo-r:mso-r_distance",0
"fmo-l:mso-r_distance",0
"ec-l:mso-r_distance",0
"ec-r:mso-r_distance",0
"g:mso-l_distance",0
"n:mso-l_distance",0
"ale:mso-l_distance",0
"rhi:mso-l_distance",0
"fmo-r:mso-l_distance",0
"fmo-l:mso-l_distance",0
"ec-l:mso-l_distance",0
"ec-r:mso-l_distance",0
"mso-r:mso-l_distance",0
"g:or-r_distance",0
"n:or-r_distance",0
"ale:or-r_distance",0
"rhi:or-r_distance",0
"fmo-r:or-r_distance",0
"fmo-l:or-r_distance",0
"ec-l:or-r_distance",0
"ec-r:or-r_distance",0
"mso-r:or-r_distance",0
"mso-l:or-r_distance",0
"g:or-l_distance",0
"n:or-l_distance",0
"ale:or-l_distance",0
"rhi:or-l_distance",0
"fmo-r:or-l_distance",0
"fmo-l:or-l_distance",0
"ec-l:or-l_distance",0
"ec-r:or-l_distance",0
"mso-r:or-l_distance",0
"mso-l:or-l_distance",0
"or-r:or-l_distance",0
"g:mio-r_distance",0
"n:mio-r_distance",0
"ale:mio-r_distance",0
"rhi:mio-r_distance",0
"fmo-r:mio-r_distance",0
"fmo-l:mio-r_distance",0
"ec-l:mio-r_distance",0
"ec-r:mio-r_distance",0
"mso-r:mio-r_distance",0
"mso-l:mio-r_distance",0
"or-r:mio-r_distance",0
"or-l:mio-r_distance",0
"g:mio-l_distance",0
"n:mio-l_distance",0
"ale:mio-l_distance",0
"rhi:mio-l_distance",0
"fmo-r:mio-l_distance",0
"fmo-l:mio-l_distance",0
"ec-l:mio-l_distance",0
"ec-r:mio-l_distance",0
"mso-r:mio-l_distance",0
"mso-l:mio-l_distance",0
"or-r:mio-l_distance",0
"or-l:mio-l_distance",0
"mio-r:mio-l_distance",0
"g:al-r_distance",0
"n:al-r_distance",0
"ale:al-r_distance",0
"rhi:al-r_distance",0
"fmo-r:al-r_distance",0
"fmo-l:al-r_distance",0
"ec-l:al-r_distance",0
"ec-r:al-r_distance",0
"mso-r:al-r_distance",0
"mso-l:al-r_distance",0
"or-r:al-r_distance",0
"or-l:al-r_distance",0
"mio-r:al-r_distance",0
"mio-l:al-r_distance",0
"g:al-l_distance",0
"n:al-l_distance",0
"ale:al-l_distance",0
"rhi:al-l_distance",0
"fmo-r:al-l_distance",0
"fmo-l:al-l_distance",0
"ec-l:al-l_distance",0
"ec-r:al-l_distance",-5.93950373660622
"mso-r:al-l_distance",0
"mso-l:al-l_distance",0
"or-r:al-l_distance",0
"or-l:al-l_distance",0
"mio-r:al-l_distance",0
"mio-l:al-l_distance",0
"al-r:al-l_distance",0
"g:pr_distance",0
"n:pr_distance",0
"ale:pr_distance",0
"rhi:pr_distance",0
"fmo-r:pr_distance",0
"fmo-l:pr_distance",0
"ec-l:pr_distance",0
"ec-r:pr_distance",0
"mso-r:pr_distance",0
"mso-l:pr_distance",0
"or-r:pr_distance",0
"or-l:pr_distance",0
"mio-r:pr_distance",0
"mio-l:pr_distance",0
"al-r:pr_distance",0
"al-l:pr_distance",0
"g:ss_distance",0
"n:ss_distance",0
"ale:ss_distance",0
"rhi:ss_distance",0
"fmo-r:ss_distance",0
"fmo-l:ss_distance",0
"ec-l:ss_distance",0
"ec-r:ss_distance",0
"mso-r:ss_distance",0
"mso-l:ss_distance",0
"or-r:ss_distance",0
"or-l:ss_distance",0
"mio-r:ss_distance",0
"mio-l:ss_distance",0
"al-r:ss_distance",0
"al-l:ss_distance",0
"pr:ss_distance",0
"g:ns_distance",0
"n:ns_distance",0
"ale:ns_distance",0
"rhi:ns_distance",0
"fmo-r:ns_distance",0
"fmo-l:ns_distance",0
"ec-l:ns_distance",0
"ec-r:ns_distance",0
"mso-r:ns_distance",0
"mso-l:ns_distance",0
"or-r:ns_distance",0
"or-l:ns_distance",0
"mio-r:ns_distance",0
"mio-l:ns_distance",0
"al-r:ns_distance",0
"al-l:ns_distance",0
"pr:ns_distance",0
"ss:ns_distance",0
"g:mp_distance",0
"n:mp_distance",0
"ale:mp_distance",0
"rhi:mp_distance",0
"fmo-r:mp_distance",0
"fmo-l:mp_distance",0
"ec-l:mp_distance",0
"ec-r:mp_distance",0
"mso-r:mp_distance",0
"mso-l:mp_distance",0
"or-r:mp_distance",0
"or-l:mp_distance",0
"mio-r:mp_distance",0
"mio-l:mp_distance",0
"al-r:mp_distance",0
"al-l:mp_distance",0
"pr:mp_distance",0
"ss:mp_distance",0
"ns:mp_distance",0
"g:ecm-r_distance",0
"n:ecm-r_distance",0
"ale:ecm-r_distance",0
"rhi:ecm-r_distance",0
"fmo-r:ecm-r_distance",0
"fmo-l:ecm-r_distance",0
"ec-l:ecm-r_distance",0
"ec-r:ecm-r_distance",0
"mso-r:ecm-r_distance",0
"mso-l:ecm-r_distance",0
"or-r:ecm-r_distance",0
"or-l:ecm-r_distance",0
"mio-r:ecm-r_distance",0
"mio-l:ecm-r_distance",0
"al-r:ecm-r_distance",0
"al-l:ecm-r_distance",0
"pr:ecm-r_distance",0
"ss:ecm-r_distance",0
"ns:ecm-r_distance",0
"mp:ecm-r_distance",0
"g:ecm-l_distance",0
"n:ecm-l_distance",0
"ale:ecm-l_distance",0
"rhi:ecm-l_distance",0
"fmo-r:ecm-l_distance",0
"fmo-l:ecm-l_distance",0
"ec-l:ecm-l_distance",0
"ec-r:ecm-l_distance",0
"mso-r:ecm-l_distance",0
"mso-l:ecm-l_distance",0
"or-r:ecm-l_distance",0
"or-l:ecm-l_distance",0
"mio-r:ecm-l_distance",0
"mio-l:ecm-l_distance",0
"al-r:ecm-l_distance",0
"al-l:ecm-l_distance",0
"pr:ecm-l_distance",0
"ss:ecm-l_distance",0
"ns:ecm-l_distance",0
"mp:ecm-l_distance",0
"ecm-r:ecm-l_distance",0
"g:zy-r_distance",0
"n:zy-r_distance",0
"ale:zy-r_distance",0
"rhi:zy-r_distance",0
"fmo-r:zy-r_distance",0
"fmo-l:zy-r_distance",0
"ec-l:zy-r_distance",0
"ec-r:zy-r_distance",0
"mso-r:zy-r_distance",0
