"","Average","Median","Minimum","Maximum","Std. Deviation","Variance","Lower Quartile (25%)","Upper Quartile (75%)","Interquartile Range"
"rhi:al.l:ss_area","0.716369","0.7171723","0.4836721","0.9955687","0.08012912","0.006420677","0.6615349","0.7711465","0.1096116"
"g:n:ms.r_angle","0.8806333","0.8830093","0.6800302","1.642211","0.09939113","0.009878596","0.8260006","0.924945","0.09894445"
"or.l:zy.l:ms.l_area","2.74485","2.734928","2.034792","3.520033","0.2566339","0.06586098","2.565586","2.922337","0.356751"
"mio.l:zy.l:ms.l_area","3.201126","3.192127","2.406147","3.964829","0.2741091","0.07513581","3.025702","3.379944","0.3542429"
"rhi:fmo.l:zy.l_angle","0.4377291","0.4313633","0.3535444","0.6221365","0.04017289","0.001613861","0.4142761","0.4609119","0.04663577"
"g:mo.r:ms.r_angle","0.5615023","0.5623751","0.3882625","0.7275478","0.06473125","0.004190135","0.5167861","0.61047","0.09368397"
"ms.r:ms.l:po.r_area","4.07767","4.049295","3.165407","5.110439","0.3900726","0.1521566","3.813643","4.320237","0.5065941"
"g:ms.r:ms.l_area","16.78942","16.83555","14.98611","18.83264","0.7397025","0.5471598","16.32579","17.22974","0.903953"
"mso.l:zy.l:zm.l_area","3.28506","3.28879","1.674956","4.053668","0.2995715","0.08974308","3.141416","3.462672","0.3212564"
"g:n:au.r_angle","1.117469","1.112967","0.8806532","1.846603","0.09742288","0.009491217","1.065377","1.162406","0.09702945"
"g:n:fmo.l_angle","1.197859","1.196635","1.025293","1.589929","0.06985438","0.004879634","1.150828","1.239597","0.08876804"
"rhi:al.l:pr_area","0.9870881","0.9830887","0.7160195","1.291689","0.1030066","0.01061037","0.9186749","1.05007","0.1313953"
"n:ms.r:ms.l_area","15.97388","15.971","13.9993","18.43155","0.7244233","0.5247891","15.50271","16.392","0.8892934"
"g:n:mp_angle","0.2238836","0.2195121","0.01156245","0.6393843","0.09551071","0.009122295","0.1628493","0.2780781","0.1152289"
"g:mio.l:au.r_angle","1.459553","1.461542","1.317755","1.599948","0.04810127","0.002313732","1.43179","1.489946","0.05815602"
"or.r:au.r:ju.r_angle","0.3807268","0.3789546","0.2518701","0.5173967","0.05225186","0.002730257","0.3475702","0.4136807","0.0661105"
"fmo.l:ju.r:ju.l_angle","1.573803","1.570583","1.369593","1.736919","0.05761685","0.003319702","1.534778","1.613551","0.07877302"
"rhi:mo.l:a_area","0.913579","0.9124647","0.5269299","1.185051","0.1107341","0.01226204","0.8443113","0.9847518","0.1404405"
"fmo.r:ns:fmt.r_angle","2.87969","2.902885","2.439048","3.10444","0.1408685","0.01984393","2.800538","2.981409","0.1808704"
"g:n:ms.l_angle","0.8568751","0.85647","0.5459937","1.626488","0.1062781","0.01129503","0.8031461","0.9089604","0.1058143"
"n:mio.l:cr.r_angle","1.513012","1.518326","1.352569","1.716947","0.07165198","0.005134006","1.464531","1.560192","0.09566098"
"g:mo.l:ms.l_angle","0.5604448","0.5577485","0.3916371","0.7215659","0.06768163","0.004580803","0.5163972","0.611125","0.09472775"
"g:n:ss_angle","0.212801","0.211867","0.009277969","0.6640022","0.09515508","0.009054489","0.1491986","0.2667931","0.1175946"
"fmo.r:po.l:ju.r_angle","1.298892","1.29893","1.163424","1.439766","0.05386064","0.002900968","1.261019","1.331846","0.07082664"
"fmo.r:ss:fmt.r_area","0.1260229","0.1139797","0.01728755","0.423353","0.0768697","0.005908951","0.07248342","0.1644882","0.09200482"
"mio.l:cr.l:cdl.l_angle","0.1230317","0.1141045","0.0107331","0.2749701","0.06033939","0.003640842","0.07625386","0.1611672","0.08491331"
"fmo.r:ns:fmt.r_area","0.1347599","0.1216758","0.01595444","0.4366364","0.08142529","0.006630079","0.07243964","0.1798773","0.1074376"
"fmo.r:mso.l:ju.r_angle","2.010412","2.013673","1.697326","2.190717","0.06164597","0.003800225","1.973555","2.046651","0.07309543"
"n:ecm.r:ms.l_area","10.59032","10.6433","6.548844","12.32101","0.6876308","0.4728361","10.33633","10.92904","0.5927092"
"mso.l:ms.r:ms.l_area","15.35589","15.35958","13.32211","17.15151","0.6994606","0.4892451","14.88372","15.78457","0.9008476"
"fmo.l:zy.r:ju.l_angle","1.443698","1.439143","1.247518","1.625299","0.06026584","0.003631971","1.404981","1.477377","0.07239583"
"ec.r:cr.r:ju.r_angle","0.4043673","0.3875803","0.2280286","0.6840067","0.0811303","0.006582125","0.3515191","0.448455","0.09693592"
"g:mio.l:ms.r_angle","1.214317","1.216614","1.043166","1.366615","0.0470701","0.002215594","1.185552","1.243557","0.05800525"
"g:mio.l:cr.r_angle","1.338316","1.341898","1.143705","1.486902","0.06513149","0.004242111","1.291901","1.38003","0.08812896"
"zy.r:ms.l_distance","0.3313623","0.3317519","0.3092213","0.3475276","0.007442582","0.00005539203","0.3259384","0.3364581","0.01051972"
"fmo.r:mio.r:fmt.r_area","0.05362694","0.04717912","0.003774545","0.1766514","0.0320143","0.001024916","0.0309865","0.0698506","0.0388641"
"n:zy.r:po.r_area","3.325935","3.323564","2.418987","4.230792","0.3585646","0.1285686","3.090112","3.584324","0.4942112"
"ms.r:ms.l:ju.r_area","10.05167","10.09539","8.775146","11.19698","0.5380573","0.2895057","9.679114","10.45547","0.77636"
"ms.r:po.r:ju.r_area","1.921053","1.924266","1.333722","2.914016","0.2600629","0.06763273","1.721855","2.092496","0.3706405"
"g:ms.l:po.r_area","16.01118","15.98047","14.50449","17.91502","0.6715013","0.450914","15.51171","16.43955","0.9278372"
"g:ms.r:po.l_area","16.05156","16.00719","14.63026","17.6389","0.6284366","0.3949326","15.59232","16.50653","0.9142025"
"fmo.r:mp:fmt.r_area","0.1248383","0.1095545","0.004440291","0.4234478","0.07734334","0.005981993","0.07539428","0.1562889","0.0808946"
"rhi:a:ju.l_area","2.896034","2.903691","2.214553","3.405044","0.2391351","0.05718559","2.744663","3.07273","0.3280672"
"g:ale:mo.l_area","1.311077","1.312694","0.9818693","1.798336","0.1563401","0.02444222","1.196288","1.413529","0.2172411"
"ft.r:fmt.r:ju.r_angle","0.3309548","0.3105509","0.1397548","0.8737948","0.1229556","0.01511807","0.2463946","0.3806514","0.1342568"
"n:ecm.r:po.l_area","10.18106","10.21386","7.260748","11.65036","0.5775071","0.3335145","9.878043","10.45565","0.577603"
"ale:pr:mp_angle","0.4961828","0.4680664","0.03641798","1.17094","0.2018514","0.04074398","0.3570104","0.6234019","0.2663915"
"g:n:fmt.l_angle","1.286217","1.286693","1.074149","1.679036","0.07625754","0.005815212","1.236726","1.327828","0.09110194"
"rhi:ecm.l:zy.l_area","4.603909","4.599986","3.20445","6.420756","0.4145951","0.1718891","4.338766","4.849602","0.5108354"
"zy.r:ms.r:ju.l_area","8.027531","8.05028","6.481443","9.465092","0.5611265","0.314863","7.588386","8.379581","0.7911953"
"mso.l:ms.r:ju.l_area","7.892327","7.88428","5.660634","8.920236","0.4355261","0.1896829","7.678593","8.151906","0.4733133"
"zy.l:ms.r:po.r_area","4.809405","4.745771","3.810727","6.014263","0.464427","0.2156924","4.496683","5.10808","0.6113967"
"g:ms.l:cdl.r_area","15.40225","15.39088","13.93568","17.14915","0.6615539","0.4376535","14.99494","15.89441","0.8994667"
"g:n:pr_angle","0.2421885","0.2407977","0.00999475","0.611675","0.09632954","0.009279381","0.1799083","0.2955758","0.1156675"
"g:zy.r:po.r_area","3.487115","3.450457","2.545225","4.374502","0.3853066","0.1484611","3.227987","3.771251","0.5432642"
"g:ms.r:ju.l_area","12.23932","12.22985","10.74792","13.59687","0.5100554","0.2601565","11.88934","12.56231","0.6729625"
"ale:rhi:mo.l_area","1.454958","1.445882","0.8631997","1.929199","0.1789689","0.03202988","1.354577","1.565172","0.2105944"
"ale:rhi:ju.l_area","4.633902","4.673242","3.457102","5.474113","0.3671469","0.1347968","4.400849","4.878668","0.4778193"
"ale:rhi:mio.l_area","2.318078","2.318145","1.800098","3.013147","0.2063818","0.04259344","2.198692","2.431352","0.2326594"
"n:ms.l:cdl.r_area","14.56681","14.57717","12.87885","16.26333","0.629687","0.3965057","14.10626","14.99233","0.8860731"
"g:ms.l:ju.r_area","12.20733","12.19813","10.92141","13.56209","0.5383514","0.2898222","11.81445","12.55727","0.7428224"
"zy.r:zy.l:ms.r_area","8.244583","8.280424","6.75179","9.605878","0.5920631","0.3505387","7.818419","8.616454","0.7980345"
"n:fmo.r:mio.l_angle","2.025448","2.024496","1.811812","2.222377","0.07770532","0.006038116","1.974287","2.073449","0.09916205"
"fmo.l:ft.r:ju.l_angle","1.945518","1.941021","1.753983","2.074631","0.05814669","0.003381037","1.913495","1.985574","0.07207924"
"fmo.r:ss:fmt.r_angle","2.909667","2.93264","2.397991","3.104111","0.1299732","0.01689304","2.850827","3.002128","0.1513014"
"fmo.r:cr.r:ju.r_angle","0.3016917","0.2969135","0.1439698","0.5163608","0.05741566","0.003296558","0.2598541","0.3287725","0.0689184"
"n:ms.l:zm.r_area","10.85501","10.81518","9.245059","12.28513","0.5070433","0.2570929","10.51285","11.14891","0.6360601"
"g:fmo.l:cr.r_angle","1.715587","1.718798","1.515521","1.882803","0.06394394","0.004088827","1.668017","1.753339","0.08532162"
"fmo.r:al.r:fmt.r_area","0.1007408","0.08945364","0.006153241","0.3234206","0.06089973","0.003708778","0.054574","0.134081","0.07950699"
"ec.r:al.l_distance","0.1797625","0.1797504","0.1708584","0.19062","0.004122509","0.00001699508","0.1771951","0.182585","0.005389884"
"g:zy.r:cdl.r_area","1.827977","1.853761","0.7588855","2.688468","0.4086082","0.1669606","1.579962","2.134655","0.5546938"
"ale:fmo.r:fmt.r_angle","0.01358152","0.01213475","0.001034318","0.049407","0.008179581","0.00006690554","0.00835142","0.01677119","0.008419774"
"n:ec.l:ecm.r_area","5.443029","5.44375","3.773689","6.552997","0.3478413","0.1209936","5.252006","5.61519","0.3631836"
"g:al.r:ecm.r_angle","0.3677208","0.365906","0.1900419","0.6548101","0.05172207","0.002675172","0.3360599","0.3949056","0.05884571"
"g:n:ale_angle","0.2278509","0.2267445","0.0219004","0.6268039","0.09629906","0.009273509","0.1658517","0.2831439","0.1172922"
"n:po.r:ju.r_area","4.176837","4.133258","3.510481","4.976611","0.289133","0.08359792","3.975899","4.390624","0.4147249"
"n:ms.l:po.r_area","15.26363","15.20298","14.07821","17.06866","0.6525731","0.4258517","14.78379","15.7054","0.9216093"
"ale:rhi:fmo.l_area","3.856865","3.883437","3.047427","4.570638","0.3081092","0.0949313","3.669241","4.062064","0.3928235"
"n:mo.l:cr.r_angle","1.281698","1.282667","1.040988","1.533086","0.07740306","0.005991233","1.238524","1.334958","0.09643375"
"mso.r:ms.r:ms.l_area","15.45704","15.50065","13.83774","17.07106","0.666991","0.444877","14.99553","15.93161","0.9360872"
"rhi:ecm.l:ju.l_area","3.839493","3.812348","2.571439","5.03019","0.3311163","0.109638","3.63649","4.039279","0.4027893"
"n:ecm.r:ju.l_area","6.780222","6.814254","3.910528","7.978184","0.4782693","0.2287415","6.533616","7.046192","0.5125752"
"g:ms.l:au.r_area","16.80052","16.77738","15.39767","19.11091","0.6707877","0.4499561","16.3539","17.24575","0.891844"
"g:n:po.r_angle","1.06289","1.058225","0.8195889","1.817208","0.09915657","0.009832025","1.006487","1.10821","0.101723"
"zy.r:ms.r:po.r_area","1.146499","1.134271","0.7242403","1.66828","0.1720233","0.02959203","1.034037","1.263114","0.2290766"
"n:zy.r:cdl.r_area","1.787461","1.818966","0.7599054","2.63598","0.3875498","0.1501948","1.553198","2.068598","0.5153995"
"g:mo.l:au.r_angle","1.229739","1.228781","1.034533","1.39786","0.05438713","0.00295796","1.198098","1.262304","0.06420624"
"al.r:zy.r:au.r_area","2.094918","2.081392","1.419605","3.81521","0.3105734","0.09645586","1.901719","2.298356","0.396638"
"n:ecm.r:cdl.l_area","9.267515","9.300443","5.538098","10.64783","0.6149148","0.3781202","8.983753","9.586412","0.6026585"
"g:n:cdl.l_angle","0.9467513","0.9448978","0.6797395","1.669404","0.09774981","0.009555026","0.8868064","0.9949138","0.1081074"
"n:ecm.l:fmt.r_area","5.531485","5.506198","4.547279","6.606897","0.3455669","0.1194164","5.296992","5.78651","0.4895183"
"n:ms.r:ju.l_area","11.29702","11.28103","10.07785","12.81734","0.4867939","0.2369683","10.97145","11.5871","0.6156505"
