"","Average","Median","Minimum","Maximum","Std. Deviation","Variance","Lower Quartile (25%)","Upper Quartile (75%)","Interquartile Range"
"rhi:al.l:ss_area","323.0024","318.5144","217.7128","617.7745","44.11524","1946.154","295.4715","344.1749","48.70338"
"or.l:zy.l:ms.l_area","1224.53","1218.656","986.4077","1525.711","115.0622","13239.32","1144.014","1299.588","155.5742"
"g:n:ms.r_angle","0.7663182","0.7688016","0.5359787","1.004039","0.08987389","0.008077315","0.7078545","0.8168984","0.1090438"
"ms.r:ms.l:po.r_area","1887.493","1898.204","1304.703","2846.835","210.9226","44488.34","1752.224","2012.561","260.3364"
"g:mo.r:ms.r_angle","0.4772508","0.4794889","0.3206654","0.746301","0.07346219","0.005396693","0.4260904","0.5200658","0.09397546"
"rhi:al.l:pr_area","440.7023","437.6351","161.8319","602.3284","56.75497","3221.127","405.3912","472.2202","66.82901"
"mio.l:zy.l:ms.l_area","1424.455","1429.219","1134.412","1782.446","132.6721","17601.88","1336.024","1507.086","171.062"
"g:mio.l:au.r_angle","1.412129","1.409966","1.261782","1.582632","0.05647191","0.003189077","1.372628","1.449131","0.07650255"
"g:n:au.r_angle","1.018618","1.019699","0.7954469","1.252618","0.08732738","0.007626072","0.9618081","1.068877","0.1070693"
"rhi:fmo.l:zy.l_angle","0.4104697","0.4068198","0.3308941","0.5548122","0.03696163","0.001366162","0.3878967","0.4343117","0.04641498"
"g:n:fmo.l_angle","1.135589","1.134709","0.9406987","1.373314","0.06396696","0.004091772","1.097679","1.175741","0.07806283"
"mso.l:zy.l:zm.l_area","1390.859","1391.604","803.844","1726.178","132.8782","17656.62","1315.407","1480.664","165.2566"
"rhi:mo.l:a_area","424.2336","422.87","92.78862","615.103","68.57951","4703.15","386.31","459.0609","72.75084"
"fmo.r:mso.l:ju.r_angle","2.048038","2.042545","1.599181","2.220174","0.07266046","0.005279543","2.006913","2.096163","0.08924956"
"g:mo.l:ms.l_angle","0.4694153","0.469207","0.2398472","0.7532519","0.0752763","0.005666521","0.4194929","0.5193459","0.099853"
"g:n:ms.l_angle","0.736962","0.7436974","0.4853396","1.073968","0.1005169","0.01010365","0.6902674","0.796487","0.1062195"
"fmo.l:ju.r:ju.l_angle","1.606079","1.60427","1.452848","1.753717","0.06084173","0.003701716","1.565609","1.64265","0.07704077"
"g:n:mp_angle","0.3225307","0.3133747","0.08449802","0.6713204","0.1181447","0.01395816","0.2390398","0.4008054","0.1617655"
"n:mio.l:cr.r_angle","1.488868","1.492089","0.9790257","1.716389","0.08449435","0.007139294","1.438187","1.537055","0.09886813"
"or.r:au.r:ju.r_angle","0.400409","0.4011546","0.2929955","0.5516954","0.05083108","0.002583798","0.363042","0.4389852","0.07594317"
"zy.r:ms.l_distance","133.754","133.6277","117.2264","145.2694","4.541085","20.62145","130.947","137.1263","6.179245"
"g:mio.l:ms.r_angle","1.168445","1.16436","0.9965502","1.33083","0.05426751","0.002944963","1.133941","1.203877","0.06993548"
"fmo.r:po.l:ju.r_angle","1.325344","1.317437","1.193127","1.519966","0.05985672","0.003582827","1.287161","1.360332","0.07317081"
"ms.r:ms.l:ju.r_area","4302.582","4297.74","3374.39","5433.352","323.9871","104967.6","4112.985","4519.19","406.2045"
"g:n:ss_angle","0.3101692","0.3038831","0.0704749","0.6605103","0.1175185","0.0138106","0.2264045","0.3860913","0.1596868"
"fmo.l:ms.l:ju.r_angle","1.399172","1.395986","1.313257","1.490462","0.03344379","0.001118487","1.377017","1.422686","0.04566923"
"fmo.r:ns:fmt.r_angle","2.799809","2.822938","2.283875","3.139612","0.1648682","0.02718152","2.694532","2.9113","0.2167682"
"g:mio.l:cr.r_angle","1.305323","1.306423","0.9164975","1.550133","0.07780598","0.006053771","1.256326","1.353145","0.09681832"
"g:mo.l:au.r_angle","1.16384","1.160218","0.9115826","1.537195","0.07355391","0.005410177","1.118036","1.200276","0.08224061"
"g:n:fmt.l_angle","1.219227","1.222772","0.961324","1.455313","0.07701214","0.005930869","1.175146","1.260264","0.08511798"
"n:fmo.r:mio.l_angle","1.991226","1.991297","1.699436","2.166207","0.0731775","0.005354946","1.948123","2.042303","0.09418001"
"ale:pr:mp_angle","0.4284979","0.39595","0.02993992","1.016093","0.1947002","0.03790819","0.2876448","0.5869138","0.299269"
"fmo.r:ss:fmt.r_area","70.55514","65.11286","0.1864074","275.2005","44.09583","1944.442","44.605","87.38129","42.77629"
"ms.r:po.r:ju.r_area","903.0385","903.1286","600.4233","1340.656","120.5067","14521.86","819.1752","993.4992","174.324"
"fmo.l:ft.r:ju.l_angle","1.989553","1.991878","1.783974","2.221925","0.06180832","0.003820268","1.949097","2.029864","0.08076694"
"n:ms.r:ms.l_area","6857.15","6878.929","4896.256","8057.739","457.4062","209220.4","6622.51","7131.558","509.0481"
"ale:rhi:mo.l_area","686.1515","677.3627","370.636","1032.704","99.89001","9978.014","614.5407","735.3648","120.8241"
"g:ms.r:ms.l_area","7259.791","7243.219","5259.292","8457.492","478.7727","229223.3","7032.336","7488.14","455.8041"
"ec.r:mso.l:ecm.l_angle","0.8402717","0.8410138","0.7371946","0.9289526","0.03926831","0.001542","0.8149379","0.8693153","0.05437736"
"fmo.l:zy.r:ju.l_angle","1.483687","1.475758","1.350173","1.881003","0.07362026","0.005419943","1.435657","1.518777","0.08312067"
"g:fmo.l:cr.r_angle","1.667222","1.673077","1.456476","1.856609","0.07161488","0.005128692","1.625767","1.720132","0.09436495"
"fmo.r:ns:fmt.r_area","75.06934","69.422","0.3235623","250.8467","42.47755","1804.342","46.96782","97.94127","50.97345"
"mso.l:ms.r:ms.l_area","6559.004","6558.49","4753.105","7593.959","443.6083","196788.3","6340.025","6795.817","455.7929"
"g:al.r:ecm.r_angle","0.3421246","0.3448027","0.241959","0.4320293","0.03700245","0.001369181","0.3193938","0.3672739","0.04788009"
"mio.l:cr.l:cdl.l_angle","0.1399413","0.1371294","0.01442248","0.6309914","0.07464841","0.005572384","0.08431421","0.1783688","0.09405456"
