"","variable","relative_importance","scaled_importance","percentage"
"1","rhi:al.l:ss_area",0.238808661699295,1,0.0401250090687032
"2","g:n:ms.r_angle",0.187501490116119,0.785153640499937,0.0315042969453853
"3","or.l:zy.l:ms.l_area",0.180693298578262,0.756644659756057,0.0303603738344976
"4","mio.l:zy.l:ms.l_area",0.149861425161362,0.627537644970622,0.0251799536953989
"5","rhi:fmo.l:zy.l_angle",0.133527085185051,0.559138367238901,0.0224354320561208
"6","g:mo.r:ms.r_angle",0.129493176937103,0.542246566835836,0.0217576484117611
"7","ms.r:ms.l:po.r_area",0.129025295376778,0.540287334884213,0.0216790342119345
"8","g:ms.r:ms.l_area",0.124839998781681,0.522761602922419,0.0209758140580318
"9","mso.l:zy.l:zm.l_area",0.12096381187439,0.5065302531895,0.0203245310028012
"10","g:n:au.r_angle",0.118819087743759,0.497549322115354,0.0199641710620057
"11","g:n:fmo.l_angle",0.106067523360252,0.444152748085039,0.0178216330448016
"12","rhi:al.l:pr_area",0.104591868817806,0.437973514333861,0.0175736912344979
"13","n:ms.r:ms.l_area",0.0987168103456497,0.413371984262249,0.0165865546172706
"14","g:n:mp_angle",0.0978090167045593,0.40957064123461,0.0164340256938133
"15","g:mio.l:au.r_angle",0.0908055528998375,0.380243967089346,0.0152572926277797
"16","or.r:au.r:ju.r_angle",0.0903270989656448,0.378240463821131,0.0151769020409734
"17","fmo.l:ju.r:ju.l_angle",0.0899580344557762,0.376695023604505,0.0151148912382661
"18","rhi:mo.l:a_area",0.0878558754920959,0.367892332158048,0.014761683164148
"19","fmo.r:ns:fmt.r_angle",0.0871215835213661,0.364817519186421,0.0146383062657769
"20","g:n:ms.l_angle",0.0841527506709099,0.35238567174282,0.0141394782743617
"21","n:mio.l:cr.r_angle",0.0808633118867874,0.338611302083379,0.013586781566861
"22","g:mo.l:ms.l_angle",0.0800087302923203,0.335032781989567,0.0134431934156442
"23","g:n:ss_angle",0.0750968754291534,0.314464621571032,0.012617895792324
"24","fmo.r:po.l:ju.r_angle",0.0740921720862389,0.310257473740776,0.0124490839474816
"25","fmo.r:ss:fmt.r_area",0.0666498467326164,0.279093087572096,0.0111986126698427
"26","mio.l:cr.l:cdl.l_angle",0.063533291220665,0.266042658455435,0.0106749640831862
"27","fmo.r:ns:fmt.r_area",0.0617904178798199,0.258744458597677,0.0103821237477085
"28","fmo.r:mso.l:ju.r_angle",0.0596082285046577,0.249606643580272,0.010015468837267
"29","n:ecm.r:ms.l_area",0.0567487627267838,0.237632765591397,0.00953501687437581
"30","mso.l:ms.r:ms.l_area",0.0566497519612312,0.237218162683579,0.00951838092893972
"31","fmo.l:zy.r:ju.l_angle",0.0564077645540237,0.236204851836789,0.00947772182202283
"32","ec.r:cr.r:ju.r_angle",0.0547739565372467,0.229363357876095,0.00920320681480652
"33","g:mio.l:ms.r_angle",0.0546651445329189,0.228907712743488,0.00918492404972854
"34","g:mio.l:cr.r_angle",0.0535352006554604,0.224176126085708,0.00899506909217578
"35","zy.r:ms.l_distance",0.0530022270977497,0.221944324467131,0.00890551803199084
"36","fmo.r:mio.r:fmt.r_area",0.0528449006378651,0.221285527341578,0.00887908379135359
"37","n:zy.r:po.r_area",0.0496558211743832,0.207931407600739,0.00834324961564788
"38","ms.r:ms.l:ju.r_area",0.0488720610737801,0.204649449169977,0.00821156100385042
"39","ms.r:po.r:ju.r_area",0.0474946424365044,0.198881573635336,0.00798012494571581
"40","g:ms.l:po.r_area",0.0458503141999245,0.191996026750732,0.00770384231452811
"41","g:ms.r:po.l_area",0.0453211478888988,0.189780167797962,0.00761493095395322
"42","fmo.r:mp:fmt.r_area",0.0449291169643402,0.188138556803749,0.00754906129792317
"43","rhi:a:ju.l_area",0.0447291024029255,0.187301005267756,0.00751545453494594
"44","g:ale:mo.l_area",0.0446515493094921,0.186976255349217,0.00750242394151948
"45","ft.r:fmt.r:ju.r_angle",0.0445908531546593,0.186722093065483,0.00749222567757975
"46","n:ecm.r:po.l_area",0.0442310981452465,0.185215635942643,0.00743177907186419
"47","ale:pr:mp_angle",0.043804869055748,0.18343082174677,0.0073601633860688
"48","g:n:fmt.l_angle",0.0437987074255943,0.183405020211307,0.00735912809922437
"49","rhi:ecm.l:zy.l_area",0.0433656871318817,0.181591768168306,0.00728637134455511
"50","zy.r:ms.r:ju.l_area",0.042680636048317,0.178723149087699,0.00717126797793111
"51","mso.l:ms.r:ju.l_area",0.040941845625639,0.171442046257068,0.00687911366082187
"52","zy.l:ms.r:po.r_area",0.0403608717024326,0.169009245373413,0.00678149750330289
"53","g:ms.l:cdl.r_area",0.0391946136951447,0.164125595010863,0.00658554098821717
"54","g:n:pr_angle",0.0382567346096039,0.160198270604507,0.00642795706079641
"55","g:zy.r:po.r_area",0.0377558246254921,0.158100733687096,0.00634379337296336
"56","g:ms.r:ju.l_area",0.0371081903576851,0.155388795756543,0.00623497683890614
"57","ale:rhi:mo.l_area",0.0370299369096756,0.15506111313627,0.00622182857079604
"58","ale:rhi:ju.l_area",0.0363342314958572,0.15214787955057,0.00610493504675059
"59","ale:rhi:mio.l_area",0.0361497178673744,0.151375237439644,0.00607393277504281
"60","n:ms.l:cdl.r_area",0.0354778319597244,0.148561746911834,0.00596104144209972
"61","g:ms.l:ju.r_area",0.0351673252880573,0.147261514878969,0.00590886961998958
"62","zy.r:zy.l:ms.r_area",0.0345030836760998,0.144480034478589,0.00579726269369992
"63","n:fmo.r:mio.l_angle",0.0337904319167137,0.141495838870628,0.0056775218178677
"64","fmo.l:ft.r:ju.l_angle",0.0326466225087643,0.136706190958318,0.00548533715195039
"65","fmo.r:ss:fmt.r_angle",0.0325375311076641,0.136249375864913,0.00546700744218478
"66","fmo.r:cr.r:ju.r_angle",0.0295352004468441,0.123677257921383,0.00496255109568785
"67","n:ms.l:zm.r_area",0.0292993523180485,0.122689655013192,0.00492292352004037
"68","g:fmo.l:cr.r_angle",0.0278784185647964,0.116739561984149,0.0046841759832904
"69","fmo.r:al.r:fmt.r_area",0.0277793351560831,0.116324654886524,0.00466752783223553
"70","ec.r:al.l_distance",0.0276726391166449,0.115877870257026,0.00464960059492517
"71","g:zy.r:cdl.r_area",0.0267827119678259,0.112151342322543,0.00450007362775925
"72","ale:fmo.r:fmt.r_angle",0.0265238750725985,0.1110674750399,0.00445658344321396
"73","n:ec.l:ecm.r_area",0.026345144957304,0.11031905111749,0.00442655292654003
"74","g:al.r:ecm.r_angle",0.026165097951889,0.109565112779853,0.00439630114390509
"75","g:n:ale_angle",0.0260912850499153,0.109256024736528,0.00438389898336364
"76","n:po.r:ju.r_area",0.0259172432124615,0.108527232756307,0.00435465619854806
"77","n:ms.l:po.r_area",0.0257101990282536,0.107660245006639,0.00431986830723017
"78","ale:rhi:fmo.l_area",0.0254190042614937,0.106440880664123,0.0042709413019287
"79","n:mo.l:cr.r_angle",0.0248864591121674,0.104210872985437,0.00418146222359812
"80","mso.r:ms.r:ms.l_area",0.0248368643224239,0.104003197144073,0.00417312922858004
"81","rhi:ecm.l:ju.l_area",0.0247491449117661,0.103635876251967,0.00415839047445318
"82","n:ecm.r:ju.l_area",0.0241970904171467,0.101324174110633,0.00406563340506802
"83","g:ms.l:au.r_area",0.0238872244954109,0.100026625187865,0.00401356924277484
"84","g:n:po.r_angle",0.0235323943197727,0.0985407905740221,0.00395395011541981
"85","zy.r:ms.r:po.r_area",0.0230615437030792,0.0965691258389867,0.00387483705004608
"86","n:zy.r:cdl.r_area",0.0224142223596573,0.093858498264527,0.003766073094039
"87","g:mo.l:au.r_angle",0.0221223216503859,0.0926361778210625,0.00371702747516013
"88","al.r:zy.r:au.r_area",0.021809933707118,0.0913280680521582,0.00366453955881999
"89","n:ecm.r:cdl.l_area",0.0210728570818901,0.0882415944712457,0.00354069477839556
"90","g:n:cdl.l_angle",0.0208398532122374,0.0872659017639764,0.00350154509966811
"91","n:ecm.l:fmt.r_area",0.0190826468169689,0.0799076829172869,0.0032062965017152
"92","n:ms.r:ju.l_area",0.0183271262794733,0.0767439763242365,0.00307935274597833
"93","n:mso.r:ecm.l_area",0.0179962441325188,0.0753584229502505,0.00302375740428197
"94","al.l:ecm.l:a_area",0.0178130827844143,0.074591443449586,0.0029929823448623
"95","n:ecm.r:cr.l_area",0.0175789054483175,0.0736108369069656,0.00295363549844682
"96","mso.l:ecm.r:ms.l_area",0.0171546023339033,0.0718340876408586,0.00288234341803147
"97","g:ms.l:zm.r_area",0.0167479775846004,0.0701313656943034,0.00281402168448446
"98","ec.r:mso.l:ecm.l_angle",0.0165701434016228,0.0693866934461854,0.00278414170377551
"99","n:ecm.r:fmt.l_area",0.016283618286252,0.0681868830484723,0.00273599930068655
"100","rhi:zy.l:zm.l_area",0.0161198005080223,0.0675009038337151,0.00270847437847348
"101","po.l:au.l:fmt.l_angle",0.0149940624833107,0.0627869289858131,0.00251932609495177
"102","n:cdl.r:ju.r_area",0.0144594591110945,0.0605483025959153,0.00242950119075568
"103","ale:rhi:fmt.l_area",0.0144451344385743,0.0604883187058075,0.00242709433662113
"104","n:ms.l:ju.r_area",0.0142697421833873,0.059753871915063,0.00239762465248203
"105","g:ms.r:cr.l_area",0.013455456122756,0.0563440874673924,0.00226080702059692
"106","rhi:ecm.r:ju.l_area",0.0133029073476791,0.0557052966714834,0.00223517553411807
